City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Maldonado,0,UY,1554537600,93,-34.91,-54.96,50.0,2.24
Tutoia,92,BR,1554540702,100,-2.76,-42.27,73.51,4.07
Svolvaer,0,NO,1554540436,55,68.23,14.57,39.99,3.36
Punta Arenas,75,CL,1554540156,80,-53.16,-70.91,39.2,26.4
Qaanaaq,0,GL,1554540703,78,77.48,-69.36,-4.71,9.22
Srednekolymsk,0,RU,1554540703,91,67.46,153.71,19.06,4.41
Provideniya,20,RU,1554540704,100,64.42,-173.23,16.36,3.62
Georgetown,20,GY,1554537600,100,6.8,-58.16,69.8,4.7
Komsomolskiy,88,RU,1554540705,93,67.55,63.78,29.23,26.78
Mount Gambier,0,AU,1554537600,58,-37.83,140.78,59.0,10.29
Hermanus,0,ZA,1554540340,64,-34.42,19.24,72.0,8.01
Vaini,0,IN,1554540705,37,15.34,74.49,93.22,5.19
Saint-Philippe,90,CA,1554540702,93,45.36,-73.48,36.0,6.93
Coihaique,20,CL,1554537600,93,-45.58,-72.07,50.0,9.17
Caravelas,36,BR,1554540707,97,-17.73,-39.27,82.42,9.66
Inuvik,5,CA,1554537600,60,68.36,-133.71,10.4,9.17
Vila Franca do Campo,75,PT,1554540664,82,37.72,-25.43,59.0,18.34
Port Lincoln,0,AU,1554540666,92,-34.72,135.86,61.99,6.42
New Norfolk,75,AU,1554540700,48,-42.78,147.06,60.8,9.17
Kununurra,90,AU,1554538200,58,-15.77,128.74,86.0,20.8
Astoria,75,US,1554540685,93,46.19,-123.83,50.0,4.7
Cartagena,0,ES,1554540577,54,37.63,-1.0,59.0,5.82
Hilo,90,US,1554540678,78,19.71,-155.08,73.4,4.7
Buraydah,0,SA,1554537600,37,26.33,43.97,82.4,3.36
Cap Malheureux,75,MU,1554540541,78,-19.98,57.61,82.4,11.41
Alice Town,0,BS,1554540710,99,25.72,-79.3,76.93,10.67
Mar del Plata,56,AR,1554540710,53,-46.43,-67.52,64.96,25.66
Hithadhoo,20,MV,1554540711,100,-0.6,73.08,84.22,8.66
Butaritari,92,KI,1554540711,100,3.07,172.79,78.55,9.44
Bredasdorp,0,ZA,1554540333,56,-34.53,20.04,70.0,14.99
Cherskiy,0,RU,1554540712,74,68.75,161.3,7.99,3.06
Hami,88,CN,1554540712,26,42.84,93.51,74.32,3.29
Shimoda,0,JP,1554540611,55,34.7,138.93,69.8,3.36
Nanortalik,88,GL,1554540713,94,60.14,-45.24,32.38,26.89
Rikitea,88,PF,1554540713,100,-23.12,-134.97,77.83,15.37
Sant Julia de Loria,88,AD,1554540616,94,42.46,1.49,46.0,1.72
Chapais,90,CA,1554537600,92,49.78,-74.86,28.4,8.05
Dungarpur,0,IN,1554540714,23,23.85,73.71,101.77,10.89
Namibe,90,AO,1554537600,83,-15.19,12.15,75.2,3.96
Bethel,1,US,1554537360,68,60.79,-161.76,26.6,12.75
